Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.638,2.372,1.655,3.243,4.726,2.48,1.445,2.477,2.369,1.856,1.54,2.689,2.456,2.106,1.343,2.057,2.893,2.433,1.682,2.825,2.739,1.989,1.492,2.681,2.818,2.865,1.751,2.793,2.864,2.47,1.53,2.878,3.476,2.954,1.898,3.478,3.552,2.497,1.739,2.325,3.026,2.523,2.22,3.285,3.592,2.742,1.667,3.318,3.202,2.606,2.165,3.36,3.485,2.91,1.701,3.487,3.546,3.039,1.917,3.322,3.11,2.313,1.441,4.027,3.227,2.174,1.479,2.996,3.696,2.54,1.522,2.827,3.344,2.57,1.792,3.218,3.36,2.866,1.886,3.767,3.551,3.043,1.789,3.832,4.85,2.854,1.879,2.63,2.839,2.773,1.941,3.321,3.879,3.123,1.819,3.243,3.157,2.807,1.901,2.55,3.22,3.696,1.843,2.837,2.808,2.899,1.753,2.455,3.673,2.904,2.092,3.338,3.443,2.355,1.664,4.04,3.571,2.712,1.9,3.12,4.008,2.733,1.505,2.943,3.253,2.855,1.712,3.578,5.717,3.683,1.608,3.774
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.47,1.861,1.313,2.823,4.953,1.955,1.161,1.92,2.005,1.453,1.224,2.177,1.913,1.635,1.094,1.612,2.414,1.92,1.343,2.36,2.372,1.539,1.191,2.129,2.443,2.29,1.455,2.215,2.289,1.946,1.24,2.501,3.248,2.429,1.471,3.245,3.341,1.935,1.386,1.891,2.648,1.959,1.721,2.815,3.703,2.369,1.385,2.908,2.747,2.271,1.681,2.979,3.336,2.351,1.365,3.21,3.368,2.534,1.487,2.88,2.658,1.902,1.27,3.911,2.758,2.077,1.224,2.906,3.608,1.986,1.212,2.739,3.045,2.119,1.405,2.88,2.979,2.422,1.498,3.605,3.368,2.518,1.41,4.114,5.342,2.457,1.457,2.09,2.267,2.622,1.54,3.112,3.806,2.716,1.419,2.772,3.068,2.301,1.473,1.992,2.724,3.669,1.436,2.339,2.256,2.595,1.448,1.904,3.733,2.337,1.613,2.927,3.177,1.851,1.412,3.907,3.415,2.174,1.477,2.607,3.994,2.228,1.206,2.454,2.929,2.28,1.344,3.399,5.398,3.474,1.649,3.506
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.818,3.411,2.169,5.35,9.99,3.517,1.932,3.501,3.319,2.523,2.041,4.085,3.461,2.855,1.815,2.784,4.541,3.42,2.313,4.392,4.088,2.691,1.985,3.897,4.266,4.292,2.481,4.154,4.331,3.499,2.111,4.524,6.242,4.477,2.522,6.272,6.609,3.562,2.356,3.308,4.871,3.595,3.035,5.433,6.487,4.111,2.361,5.602,5.168,3.996,3.011,5.752,6.227,4.374,2.357,6.302,6.535,4.709,2.543,5.551,5.038,3.312,1.887,7.838,5.309,3.009,2.075,4.092,7.239,3.693,2.031,4.166,5.663,3.738,2.42,5.269,5.752,4.478,2.526,7.125,6.561,4.829,2.439,7.479,10.553,4.436,2.501,3.922,4.229,4.701,2.712,5.908,7.712,5.014,2.444,5.28,4.463,4.181,2.534,3.64,5.247,7.297,2.488,4.31,4.285,4.643,2.434,3.504,7.163,4.446,2.815,5.66,6.088,3.293,2.234,7.745,6.5,3.963,2.562,5.009,8.151,4.056,1.97,4.502,5.364,4.272,2.29,6.744,10.726,4.353,1.980,4.702
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.039,1.435,0.832,2.283,3.727,1.409,0.785,1.417,1.458,1.02,0.813,1.808,1.39,1.134,0.754,1.076,2.073,1.368,0.963,2.022,2.004,1.073,0.855,1.591,2.042,1.792,1.101,1.74,1.889,1.401,0.887,1.87,2.886,1.863,1.001,2.883,2.972,1.461,0.971,1.348,2.247,1.466,1.19,2.367,3.286,2.006,1.039,2.513,2.221,1.67,1.231,2.585,2.965,1.81,0.986,2.813,2.913,1.952,0.982,2.403,2.305,1.336,0.899,3.373,2.358,1.552,0.897,2.176,3.277,1.549,0.88,2.058,2.67,1.551,0.975,2.517,2.585,2.089,1.07,3.198,2.927,2.126,1,3.618,3.771,1.822,0.981,1.689,1.756,2.056,1.132,2.62,3.407,2.126,1.001,2.25,2.499,1.697,1.036,1.477,2.297,3.349,1.013,1.894,1.858,2.022,0.953,1.446,3.39,1.907,1.097,2.521,2.808,1.317,1.02,3.311,2.964,1.61,1.023,2.206,3.547,1.71,0.765,1.848,2.56,1.783,0.932,3.049,5.064,1.700,0.965,2.523
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,2.328,1.603,3.514,6.032,2.456,1.405,2.399,2.338,1.771,1.479,2.778,2.393,2.024,1.331,2.005,3.096,2.427,1.64,3.016,2.942,1.881,1.442,2.677,3,2.888,1.788,2.798,2.902,2.444,1.514,3.114,4.104,3.023,1.793,4.105,4.241,2.42,1.696,2.392,3.295,2.452,2.136,3.548,4.531,2.946,1.703,3.689,3.415,2.902,2.074,3.774,4.17,2.95,1.669,4.057,4.269,3.153,1.82,3.608,3.402,2.409,1.45,4.922,3.509,2.209,1.504,3.061,4.621,2.496,1.477,2.849,3.825,2.692,1.707,3.624,3.774,3.089,1.911,4.542,4.268,3.221,1.717,5.088,6.408,3.057,1.774,2.65,2.856,3.36,1.895,3.937,4.855,3.388,1.829,3.457,3.235,2.873,1.794,2.499,3.449,4.702,1.749,2.916,2.878,3.32,1.879,2.378,4.723,2.972,1.985,3.706,4.013,2.321,1.592,4.892,4.311,2.73,1.801,3.326,5.093,2.787,1.491,3.052,3.679,2.876,1.629,4.328,6.645,2.900,1.555,3.311
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.519,2.405,1.667,3.619,6.209,2.542,1.459,2.482,2.423,1.836,1.537,2.861,2.477,2.1,1.381,2.082,3.183,2.517,1.7,3.099,3.02,1.95,1.496,2.768,3.079,2.983,1.847,2.89,2.995,2.53,1.57,3.215,4.205,3.122,1.861,4.207,4.353,2.502,1.76,2.481,3.398,2.536,2.215,3.652,4.629,3.025,1.76,3.79,3.519,3.004,2.147,3.876,4.269,3.047,1.73,4.166,4.385,3.253,1.89,3.713,3.495,2.499,1.497,5.057,3.61,2.285,1.557,3.16,4.737,2.579,1.529,2.939,3.921,2.791,1.771,3.716,3.876,3.173,1.99,4.67,4.384,3.317,1.78,5.198,6.593,3.161,1.841,2.735,2.95,3.467,1.961,4.047,4.981,3.491,1.907,3.561,3.325,2.97,1.862,2.585,3.551,4.813,1.813,3.014,2.968,3.426,1.959,2.459,4.827,3.066,2.059,3.81,4.114,2.405,1.652,5.029,4.438,2.823,1.876,3.425,5.226,2.886,1.555,3.152,3.772,2.97,1.691,4.44,6.510,2.951,1.588,3.293
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.402,2.306,1.57,3.496,6.013,2.422,1.383,2.369,2.303,1.744,1.453,2.764,2.361,1.989,1.311,1.97,3.088,2.391,1.619,3.008,2.937,1.852,1.426,2.646,2.993,2.864,1.772,2.774,2.881,2.41,1.495,3.083,4.111,2.993,1.76,4.111,4.246,2.393,1.671,2.356,3.268,2.424,2.102,3.539,4.548,2.942,1.686,3.686,3.393,2.881,2.049,3.773,4.182,2.923,1.648,4.057,4.266,3.126,1.786,3.597,3.398,2.373,1.438,4.932,3.503,2.24,1.488,3.116,4.635,2.474,1.461,2.9,3.83,2.662,1.681,3.627,3.773,3.084,1.878,4.548,4.266,3.21,1.693,5.119,6.373,3.04,1.742,2.633,2.83,3.34,1.872,3.925,4.872,3.362,1.802,3.44,3.293,2.841,1.763,2.469,3.439,4.72,1.723,2.892,2.862,3.299,1.85,2.353,4.745,2.954,1.951,3.703,4.019,2.286,1.566,4.898,4.305,2.698,1.771,3.316,5.115,2.753,1.459,3.022,3.683,2.851,1.602,4.335,6.715,2.951,1.576,3.349
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.669,2.472,1.692,3.729,6.458,2.603,1.484,2.546,2.477,1.876,1.563,2.95,2.538,2.143,1.404,2.122,3.286,2.566,1.736,3.198,3.103,1.994,1.522,2.84,3.157,3.068,1.89,2.973,3.084,2.59,1.601,3.295,4.353,3.205,1.898,4.354,4.503,2.57,1.793,2.528,3.489,2.604,2.263,3.771,4.764,3.11,1.799,3.918,3.623,3.053,2.202,4.008,4.413,3.132,1.767,4.308,4.526,3.345,1.926,3.833,3.611,2.545,1.517,5.238,3.729,2.297,1.589,3.186,4.906,2.653,1.56,3.016,4.052,2.838,1.808,3.835,4.008,3.274,2.016,4.824,4.527,3.423,1.819,5.365,6.859,3.235,1.878,2.816,3.033,3.543,2.008,4.168,5.161,3.586,1.927,3.672,3.383,3.045,1.9,2.652,3.666,4.988,1.852,3.091,3.059,3.501,1.98,2.526,4.998,3.159,2.103,3.938,4.257,2.458,1.684,5.207,4.571,2.895,1.907,3.535,5.419,2.946,1.571,3.235,3.893,3.055,1.724,4.595,6.759,3.003,1.599,3.378
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.669,2.472,1.692,3.729,6.458,2.603,1.484,2.546,2.477,1.876,1.563,2.95,2.538,2.143,1.404,2.122,3.286,2.566,1.736,3.198,3.103,1.994,1.522,2.84,3.157,3.068,1.89,2.973,3.084,2.59,1.601,3.295,4.353,3.205,1.898,4.354,4.503,2.57,1.793,2.528,3.489,2.604,2.263,3.771,4.764,3.11,1.799,3.918,3.623,3.053,2.202,4.008,4.413,3.132,1.767,4.308,4.526,3.345,1.926,3.833,3.611,2.545,1.517,5.238,3.729,2.297,1.589,3.186,4.906,2.653,1.56,3.016,4.052,2.838,1.808,3.835,4.008,3.274,2.016,4.824,4.527,3.423,1.819,5.365,6.859,3.235,1.878,2.816,3.033,3.543,2.008,4.168,5.161,3.586,1.927,3.672,3.383,3.045,1.9,2.652,3.666,4.988,1.852,3.091,3.059,3.501,1.98,2.526,4.998,3.159,2.103,3.938,4.257,2.458,1.684,5.207,4.571,2.895,1.907,3.535,5.419,2.946,1.571,3.235,3.893,3.055,1.724,4.595,6.860,3.094,1.652,3.437
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.351,2.308,1.595,3.472,5.906,2.43,1.402,2.375,2.315,1.762,1.474,2.751,2.369,2.006,1.329,1.988,3.066,2.403,1.634,2.988,2.922,1.869,1.44,2.648,2.986,2.856,1.784,2.767,2.869,2.419,1.51,3.079,4.058,2.987,1.782,4.059,4.195,2.396,1.689,2.368,3.259,2.427,2.116,3.503,4.506,2.926,1.699,3.644,3.374,2.885,2.06,3.728,4.127,2.915,1.663,4.01,4.223,3.114,1.808,3.562,3.366,2.385,1.456,4.848,3.467,2.255,1.501,3.123,4.57,2.472,1.474,2.912,3.784,2.668,1.7,3.587,3.728,3.062,1.897,4.488,4.223,3.185,1.71,5.041,6.267,3.04,1.764,2.624,2.824,3.336,1.886,3.899,4.792,3.352,1.819,3.414,3.287,2.839,1.784,2.473,3.406,4.652,1.74,2.882,2.847,3.296,1.867,2.355,4.677,2.939,1.969,3.661,3.967,2.298,1.586,4.817,4.256,2.7,1.79,3.287,5.021,2.757,1.486,3.015,3.641,2.844,1.622,4.281,6.434,2.990,1.596,3.329
