Lat,Lon,Site_Number
37.11270465,-122.3127005,1
37.11129082,-122.3061434,2
37.10212527,-122.3283155,3
36.97447872,-122.1496546,6
36.97569098,-122.1468313,5
36.97178158,-122.1429347,7
36.97092899,-122.1411947,8
36.96939596,-122.1404873,9
36.96479785,-122.134164,10
36.96085245,-122.1225674,11
36.95350018,-122.1036286,17
36.95121826,-122.0921643,19
36.94871924,-122.0801544,22
36.94654831,-122.0691272,27
36.9465778,-122.0628665,25
36.9469401,-122.0572698,24
36.94712514,-122.0515788,26
36.94927845,-122.0439651,23
36.94936917,-122.0355462,21
36.95066196,-122.0254301,20
36.95696415,-121.9948742,14
36.95437708,-121.9822733,16
36.95170203,-121.972862,18
36.95688498,-121.96364,15
36.95991832,-121.9598523,13
36.96632448,-121.9527369,12
36.97198693,-121.9436655,4
36.60609077,-121.8785642,38
36.61239659,-121.8958342,36
36.61607497,-121.8970052,35
36.61962322,-121.9003027,34
36.62527454,-121.9115499,32
36.6330281,-121.9206757,30
36.63887008,-121.9272952,29
36.64038171,-121.9374561,28
36.63479814,-121.9443534,31
36.62015134,-121.9525603,33
36.61369474,-121.9602198,37
36.60559986,-121.9674998,39
36.60119727,-121.9683027,40
36.5922433,-121.9690452,41
36.5864838,-121.9717468,42
36.58301217,-121.9790766,43
36.57378365,-121.9765362,44
36.56606675,-121.9691266,45
36.56210392,-121.965196,46
36.56210315,-121.9595056,47
36.56195637,-121.9506675,49
36.56067333,-121.940979,48
36.55332709,-121.9371657,50
36.54795108,-121.9367144,51
36.54022566,-121.9356682,52
36.53191398,-121.9287287,53
36.52545137,-121.9324038,54
36.52374529,-121.9402779,55
36.5195128,-121.9572078,56
36.51512451,-121.9527687,57
36.51031088,-121.9459713,58
36.50392867,-121.9419738,59
36.49680311,-121.9444928,60
36.48723278,-121.9472311,61
36.48057001,-121.9432786,62
36.47203575,-121.9399945,63
36.46476012,-121.9333195,64
36.45847917,-121.9298764,65
36.45153891,-121.9327274,66
36.44237324,-121.9268878,67
36.43272503,-121.9264355,68
36.42705104,-121.9212855,69
