Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
1,NaN,900,0,0,NaN,0,NaN,0,0,0,0,0,0,0,1800,NaN,0,0,0,0,0,2700,1800,0,0,15300,4500,3600,NaN,3600,NaN,0,0,23400,7200,0,0,23400,31500,3600,0,NaN,28800,2700,0,26100,35100,3600,0,17100,NaN,9900,0,27000,23400,5400,0,5400,20700,0,0,NaN,35100,0,0,9900,38700,0,900,53100,42300,1800,0,40500,44100,5400,0,29700,30600,0,10800,53100,47700,0,900,25200,21600,5400,0,39600,46800,0,0,9900,60300,4500,0,18000,60300,12600,7200,54900,78300,0,1800,23400,64800,900,0,25200,72900,0,23400,71100,67500,2700,0,54000,76500,45900,3600,78300,74700,3600,22500,82800,79200,43200,38700,74700,72900,15300,0,22500,52200,0,3600,69300,65700,11700,0,53100,71100,43200
2,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,900,0,0,0,0,900,0,0,0,2700,1800,0,0,13500,0,0,17100,11700,0,0,18000,21600,2700,0,9900,4500,0,900,16200,17100,0,1800,15300,10800,3600,0,26100,30600,0,0,21600,41400,0,0,3600,16200,1800,13500,40500,39600,900,0,12600,36000,1800,0,17100,36000,2700,16200,36000,38700,0,0,33300,45900,18900,3600,53100,55800,10800,17100,57600,59400,48600,17100,52200,44100,9900,0,36000,45900,0,2700,56700,54900,26100,0,45000,55800,47700
3,NaN,30600,900,0,NaN,8100,NaN,1800,2700,900,12600,0,15300,0,20700,NaN,10800,21600,4500,0,18900,18900,17100,900,0,22500,21600,19800,NaN,NaN,NaN,900,0,57600,17100,1800,1800,27000,16200,1800,2700,NaN,23400,0,0,32400,5400,0,900,9900,NaN,6300,18900,4500,0,900,5400,0,1800,0,8100,NaN,25200,1800,0,37800,8100,0,18000,40500,6300,0,16200,18900,10800,0,0,19800,3600,0,2700,38700,12600,4500,0,11700,900,900,4500,39600,12600,0,18900,37800,900,0,18900,34200,1800,1800,2700,33300,10800,3600,10800,17100,16200,900,0,17100,19800,3600,25200,20700,9000,0,6300,35100,24300,6300,6300,47700,18000,2700,19800,29700,12600,0,21600,32400,8100,9000,900,36900,9900,0,13500,36900,7200,6300,8100,33300,5400,4500
4,NaN,65700,23400,0,NaN,72000,NaN,11700,0,0,19800,900,1800,15300,60300,NaN,33300,52200,44100,0,13500,30600,13500,0,0,54900,0,0,NaN,0,10800,2700,0,32400,6300,0,0,9000,900,0,900,NaN,13500,0,0,NaN,1800,0,0,22500,NaN,0,NaN,11700,0,0,0,0,NaN,0,0,15300,26100,0,0,900,7200,1800,16200,58500,12600,10800,13500,66600,69300,5400,3600,31500,33300,11700,35100,99900,36900,26100,9900,52200,29700,0,14400,49500,54000,3600,90000,134100,99000,10800,26100,115200,80100,46800,114300,144900,139500,28800,99900,154800,99000,30600,94500,143100,146700,0,129600,108000,105300,24300,53100,127800,95400,6300,0,117000,102600,11700,24300,104400,28800,2700,7200,12600,7200,0,0,11700,15300,0,6300,65700,36900,2700,7200,50400,6300,19800
5,NaN,13500,26100,8100,NaN,NaN,NaN,9000,900,19800,23400,8100,2700,6300,27000,NaN,9900,15300,19800,0,1800,19800,22500,9900,0,23400,23400,14400,NaN,1800,27900,1800,0,18900,26100,0,0,18900,18900,8100,0,NaN,31500,12600,0,NaN,23400,6300,1800,13500,NaN,5400,2700,13500,17100,11700,0,900,9900,9000,0,NaN,12600,900,0,900,23400,2700,900,13500,26100,6300,900,14400,19800,15300,0,9000,15300,3600,900,12600,23400,1800,0,5400,4500,6300,0,4500,9900,900,8100,18000,23400,900,3600,9900,21600,4500,9900,16200,18900,6300,5400,4500,25200,8100,0,11700,27000,0,3600,12600,26100,1800,1800,8100,27000,4500,3600,24300,20700,1800,1800,27900,31500,10800,0,13500,19800,16200,0,8100,16200,6300,1800,16200,17100,8100,0,4500,13500,5400
6,NaN,9900,35100,14400,NaN,NaN,NaN,31500,0,27000,41400,14400,1800,9000,49500,NaN,16200,31500,49500,0,0,52200,56700,40500,0,55800,54900,49500,NaN,11700,58500,8100,0,57600,56700,0,2700,58500,63000,41400,0,NaN,64800,54900,0,NaN,54900,5400,0,17100,NaN,27900,0,36000,53100,39600,0,0,27000,27000,0,2700,24300,3600,0,0,26100,7200,3600,27000,50400,33300,0,31500,54900,52200,0,34200,37800,15300,0,24300,53100,25200,0,20700,43200,40500,900,27000,43200,900,7200,13500,37800,900,0,16200,43200,9000,27900,44100,51300,19800,2700,19800,53100,29700,1800,30600,58500,0,20700,35100,52200,29700,6300,28800,59400,27000,900,46800,53100,14400,16200,65700,82800,61200,0,45000,66600,55800,0,36900,45000,36000,11700,43200,46800,45000,0,20700,36900,24300
7,NaN,0,0,0,NaN,NaN,NaN,900,0,0,0,0,0,0,0,NaN,0,0,900,0,0,900,2700,0,0,3600,5400,4500,NaN,0,20700,0,0,15300,27900,0,0,21600,31500,900,0,NaN,35100,18000,0,NaN,10800,0,0,900,NaN,2700,0,3600,6300,3600,0,0,0,0,0,0,0,0,0,0,4500,0,0,5400,14400,5400,0,5400,9900,3600,0,3600,3600,0,0,0,7200,0,0,0,0,0,900,900,3600,0,0,9000,3600,0,0,0,900,0,0,6300,0,0,0,0,7200,900,0,0,8100,0,0,0,900,0,0,0,9000,0,0,1800,4500,0,0,12600,25200,4500,3600,24300,40500,25200,0,34200,39600,27900,11700,41400,43200,41400,0,32400,31500,6300
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0,1800,0,NaN,NaN,NaN,1800,0,3600,9900,0,0,0,18900,NaN,0,3600,7200,0,0,20700,26100,10800,0,31500,35100,25200,NaN,0,50400,900,0,41400,53100,0,0,43200,49500,22500,0,NaN,58500,35100,0,NaN,34200,2700,0,6300,NaN,3600,0,7200,19800,17100,0,0,6300,1800,0,900,7200,0,0,0,14400,1800,0,7200,35100,13500,0,10800,30600,27900,0,5400,15300,900,900,1800,13500,0,0,0,0,0,0,9900,25200,0,5400,4500,15300,3600,0,1800,18900,0,900,16200,32400,1800,0,14400,54900,35100,0,18900,59400,0,1800,21600,46800,0,0,11700,59400,7200,0,36900,36900,0,2700,65700,70200,56700,0,54900,68400,38700,0,29700,54000,43200,15300,53100,68400,58500,0,58500,55800,27000
