Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
1,NaN,532,0,0,NaN,0,NaN,0,0,0,0,0,0,0,1046,NaN,0,0,0,0,0,2206,1098,0,0,24944,6949,3008,NaN,7698,NaN,0,0,32287,8060,0,0,38108,45573,782,0,NaN,64311,904,0,62391,51917,1340,0,24468,NaN,2634,0,38215,16861,1709,0,5433,34349,0,0,NaN,66584,0,0,8169,31607,0,1192,37057,48651,632,0,68675,45942,858,0,16993,37443,0,5045,67905,59274,0,120,32262,34333,1552,0,22795,25323,0,0,5588,57842,1532,0,6294,46398,5651,959,80729,144061,0,2190,18107,42562,160,0,11135,38611,0,5707,144085,144151,2358,0,105834,124840,6518,998,190334,132297,328,5726,153094,163648,13698,17191,144419,65626,1551,0,11988,59302,0,870,93685,140295,1468,0,34867,70150,19302
2,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,636,0,0,0,0,920,0,0,0,2863,348,0,0,5231,0,0,9101,8879,0,0,25388,22812,530,0,6737,4715,0,272,13317,13604,0,308,15949,12722,899,0,17466,27840,0,0,22943,64799,0,0,507,7621,415,1645,35701,40041,143,0,12460,35022,227,0,19627,29255,377,6830,54934,69985,0,0,54616,54714,3378,1312,125880,106751,1071,3412,114281,117504,15099,5230,80670,37750,932,0,20134,60241,0,476,100371,103725,4053,0,40027,88391,45449
3,NaN,78963,379,0,NaN,9626,NaN,999,5212,763,12227,0,23572,0,15745,NaN,35803,14402,6144,0,47385,35640,38611,1328,0,28270,48112,10552,NaN,NaN,NaN,990,0,132238,24994,1531,4321,37023,17290,312,4155,NaN,32607,0,0,176016,4411,0,8239,17055,NaN,1634,57373,3126,0,229,10712,0,1563,0,16629,NaN,40168,1145,0,84420,7373,0,20187,55799,3311,0,17889,23024,5056,0,0,18207,1169,0,7084,50118,7740,2257,0,8224,808,257,4727,56703,4519,0,8045,47354,297,0,16456,57963,973,504,499,41275,9750,877,11801,15077,22131,469,0,10642,17555,939,26065,16537,19029,0,6597,40015,18322,1527,5069,34402,24536,352,10528,23142,16633,0,20643,28387,8336,3712,1449,37240,10122,0,9607,49145,3956,1650,9585,25296,2697,1564
4,NaN,230936,20336,0,NaN,194411,NaN,10729,0,0,13904,372,866,20705,72904,NaN,47110,87643,87918,0,5901,15704,3981,0,0,49751,0,0,NaN,0,10657,1604,0,15868,4814,0,0,2112,538,0,239,NaN,11240,0,0,NaN,1371,0,0,19357,NaN,0,NaN,9213,0,0,0,0,NaN,0,0,16762,39498,0,0,430,1388,206,5943,50342,5850,9991,10792,100755,53992,1291,707,20775,22324,7156,33872,136043,12460,12181,3426,39454,16205,0,2311,34148,34893,594,37043,167452,69636,5308,7324,229551,93972,14519,77740,308106,204702,5460,96172,308268,85767,14785,59875,202374,144850,0,93229,87289,162882,21870,29028,211678,45997,1461,0,188949,126620,3198,6190,137375,7955,421,1760,4098,1041,0,0,3667,6509,0,1402,55047,17120,356,3391,39808,1631,7200
5,NaN,23777,42757,5395,NaN,NaN,NaN,5031,1435,35495,58357,9067,1856,13845,66207,NaN,13297,28754,61193,0,1664,71520,62173,3916,0,74477,52090,12072,NaN,3307,95335,868,0,47238,65891,0,0,43152,49130,5809,0,NaN,111817,7706,0,NaN,47540,2784,2560,24244,NaN,2864,1819,26548,14074,3970,0,509,17060,6056,0,NaN,25770,421,0,519,25969,586,349,18985,32050,5441,518,26647,30880,5660,0,3129,21550,2638,435,9067,26773,559,0,3209,4449,1204,0,2163,10178,179,1121,8909,30133,841,801,8034,20672,3132,6972,20079,29103,2022,2188,8394,32705,2111,0,14585,24759,0,2088,20320,53993,713,1193,13920,33611,1493,1362,45344,47301,872,267,45802,72580,3127,0,13309,25335,3719,0,5536,17926,1154,366,15181,31700,2823,0,2186,6595,2093
6,NaN,14279,73996,9177,NaN,NaN,NaN,27532,0,20692,82310,14919,771,11349,140922,NaN,17788,32659,154346,0,0,225411,192139,15764,0,192618,195399,108173,NaN,15113,292951,5828,0,151254,202877,0,2570,164197,231116,23724,0,NaN,277174,30581,0,NaN,97659,2021,0,19157,NaN,12183,0,65920,74208,15464,0,0,39368,11470,0,3097,37365,2060,0,0,21291,1076,715,35964,110566,36117,0,77763,124717,38466,0,14750,77064,6413,0,28304,102188,9357,0,12186,51277,12999,3322,8710,51676,304,670,3451,39801,252,0,11806,51942,4146,14706,73408,149986,4027,841,24852,118740,11076,355,51710,136893,0,9311,49580,200758,37450,3257,87747,122833,8368,103,143211,199603,4060,3475,165285,278294,21729,0,76806,153762,26687,0,27334,101561,9682,2291,72105,160947,21798,0,11901,46186,10845
7,NaN,0,0,0,NaN,NaN,NaN,378,0,0,0,0,0,0,0,NaN,0,0,561,0,0,1582,1067,0,0,2653,6169,2094,NaN,0,38517,0,0,14927,41949,0,0,46877,67576,208,0,NaN,132789,9652,0,NaN,10202,0,0,730,NaN,1999,0,4953,6499,810,0,0,0,0,0,0,0,0,0,0,1628,0,0,3757,11308,3707,0,11643,10189,1459,0,822,3658,0,0,0,3180,0,0,0,0,0,101,98,527,0,0,1310,996,0,0,0,140,0,0,931,0,0,0,0,2981,83,0,0,4149,0,0,0,596,0,0,0,4805,0,0,649,4812,0,0,7909,25089,711,1293,59324,90458,9925,0,55945,114933,7248,4270,119790,174883,23872,0,26335,26474,2169
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0,2507,0,NaN,NaN,NaN,1678,0,1695,13342,0,0,0,29764,NaN,0,2306,15865,0,0,41076,32394,4216,0,55925,79927,40199,NaN,0,156092,727,0,61657,120691,0,0,102090,123190,7403,0,NaN,215227,22555,0,NaN,63774,1266,0,7179,NaN,1888,0,8056,15197,6086,0,0,6523,605,0,1910,7406,0,0,0,5181,208,0,4093,33731,6189,0,13291,28732,9463,0,1065,10846,383,103,271,5317,0,0,0,0,0,0,2331,9794,0,515,711,9971,1685,0,217,7797,0,108,15732,48026,345,0,3952,64150,8913,0,16277,89347,0,338,8895,71997,0,0,9790,51870,958,0,45068,81505,0,231,104833,183501,14656,0,96163,120221,13133,0,29523,115327,16479,4051,105304,201441,38653,0,38371,67246,13236
11,NaN,44790,102858,903,NaN,NaN,NaN,185928,0,139405,381414,70974,10423,82677,772161,NaN,48458,295841,501164,0,348,767309,709530,46971,0,700634,604438,112406,NaN,25120,1007526,17667,0,546914,677420,760,12419,914483,1194711,37212,0,NaN,1196893,156160,0,NaN,353665,3216,0,127173,NaN,9696,387,192949,175019,49383,0,462,239918,57117,0,274140,423176,2891,0,5160,75873,4669,3455,194186,469120,178520,11275,506905,511852,77708,0,35471,199852,14258,650,76760,250894,7280,136,57282,64089,6733,0,37242,176081,415,1909,10578,142222,25500,0,28820,231854,28703,4578,76913,435525,16006,0,146477,548694,67491,2593,277621,548330,235,14632,160820,648312,38981,3603,332355,494448,12283,3584,481593,638199,20913,40778,728378,872054,68859,37126,668483,600493,56128,0,188607,698670,92941,23643,559433,958692,207755,6039,352510,449598,17385
12,NaN,103647,11010,0,NaN,149432,NaN,2237,0,1057,3066,0,1620,16629,77105,NaN,39638,89990,69431,0,7465,40804,17157,0,0,73415,0,0,NaN,710,19011,317,0,22681,5781,0,0,28383,14922,0,304,NaN,33512,172,0,NaN,1265,0,0,33347,NaN,193,NaN,28824,0,0,0,1273,NaN,1400,0,30967,60043,0,0,6485,5005,452,5256,52274,11694,21523,20430,119237,57171,7517,900,30217,24143,5336,30862,132092,9123,12443,1859,29145,8768,272,585,6972,22452,318,23079,90818,38073,0,4286,146723,69848,10060,29724,155682,119457,2149,41344,152196,32782,6669,6056,104888,114166,0,70981,69735,100606,15869,15871,124746,21017,0,0,87728,104351,3083,13448,114628,9712,1377,6092,23457,3829,0,0,5998,31944,0,3287,47642,26401,279,7628,21217,1526,4429
13,NaN,210676,9076,578,NaN,247494,NaN,0,0,18264,40931,0,17976,53890,156525,NaN,86376,138287,80272,0,16449,84864,32097,0,0,143577,0,1046,NaN,4746,18404,0,0,39136,18832,0,0,40753,19641,0,0,NaN,10365,0,0,NaN,0,0,2849,45734,NaN,0,NaN,14046,0,0,0,0,NaN,0,0,17050,10966,3684,0,15226,3336,68,16552,78919,426,1677,8328,108448,12745,4017,0,25139,7329,2120,70100,219577,4952,13554,17272,19204,11994,0,0,82946,25507,0,18564,97853,15907,0,1904,153105,36831,5914,49611,381839,111148,3576,67551,266928,39815,2049,9360,260340,165801,0,62537,108574,143614,7536,40404,185715,15611,874,2351,8231,39506,436,13297,182119,30964,2762,46277,124303,15658,0,0,4739,25198,0,8625,111245,31322,557,22216,94885,1200,5015
14,NaN,567,0,0,NaN,2784,NaN,1046,0,0,0,0,0,0,11955,NaN,0,6297,6548,10500,9486,39572,30097,2227,0,139025,3005,4905,NaN,0,24339,0,0,1202,901,0,0,7763,29501,0,0,NaN,20849,0,0,NaN,0,0,0,0,NaN,0,NaN,2504,0,0,0,0,NaN,0,0,31255,18302,0,0,272,782,0,169,5253,0,0,0,4398,6895,332,0,0,0,0,0,4432,3377,0,0,0,0,0,0,0,0,0,0,0,4310,3136,0,1842,25432,97,0,3137,9551,0,0,10451,15800,7179,0,6605,32922,0,0,0,1481,0,0,7686,6522,0,0,5869,26914,4229,5063,91021,35136,7565,16723,94939,25789,0,0,6966,25772,0,0,25268,1597,0,0,3182,501,0
15,NaN,116078,2229,319,NaN,129611,NaN,0,0,8794,18069,0,10328,1671,109505,NaN,111436,176894,45721,1793,6727,125644,70947,0,0,317964,0,4639,NaN,16179,72582,604,0,87808,46390,0,0,67983,61037,0,0,NaN,108131,0,0,NaN,3113,0,0,155017,NaN,0,NaN,59642,0,0,0,3355,NaN,0,2317,135653,44895,2489,211,57144,22648,0,63246,286656,5601,79075,34693,184354,23636,14794,0,34338,15506,842,70959,271794,905,26829,29599,44738,13685,236,0,158743,71341,863,27793,254925,89720,3660,5295,274763,82668,8296,73186,563596,405403,18075,86423,389869,79255,13624,9590,221876,209884,0,78929,107371,196238,10495,35796,235502,17714,592,3512,9543,34444,1458,5182,114183,25806,0,49505,87220,15815,558,0,14371,39542,0,12129,182538,59999,3574,31473,149714,12615,9693
16,NaN,17594,27605,0,NaN,130771,NaN,15359,0,1603,22319,2016,3240,14834,66812,NaN,31091,68446,79448,1529,5587,146884,152993,2152,507,295935,8043,1273,NaN,0,191157,2418,0,37104,68045,0,0,85047,203783,0,0,NaN,160395,0,0,NaN,13241,0,0,18912,NaN,0,NaN,23846,14787,734,0,3520,NaN,768,0,111493,148372,0,0,6892,13710,63,2824,113275,27673,26951,7118,99879,74217,15403,0,14264,25673,0,1309,62513,19129,469,1407,17106,29807,0,0,16860,42554,0,246,26984,118296,1821,0,41743,116707,10356,6284,101908,122065,7166,8851,87645,54593,18903,3591,59916,92969,0,6622,30789,42743,626,7589,48064,22776,295,127,29876,66325,8110,19541,365268,185482,23297,63335,292152,39652,0,0,19860,104211,0,2424,121814,38078,2553,5611,56026,46219,0
17,NaN,2581,26273,0,NaN,NaN,NaN,57411,0,17881,118286,22713,735,23881,322384,NaN,32974,76002,173926,0,0,312349,221949,10512,0,453868,423223,77386,NaN,15910,860191,5256,0,414477,573968,2371,3781,646846,856633,31715,0,206132,1086296,107840,0,NaN,115939,1851,0,43104,NaN,8489,NaN,109713,142300,40450,0,8428,133748,35253,0,138378,233566,0,0,0,34126,2861,0,19886,113240,25372,228,61635,104302,21726,0,7293,29259,1892,0,6047,29021,169,155,10370,15899,3512,0,25050,115117,0,465,66684,233567,56987,0,35612,146898,18003,122,14692,228196,1435,1546,80756,274073,47512,0,94672,250158,1922,1224,38354,204347,21785,0,75979,184422,3912,620,152483,201452,3460,2190,258964,490165,33462,5558,315066,216605,3961,0,54869,357117,57881,3597,293664,530828,94458,1187,148239,240525,18242
18,NaN,482418,118059,31133,NaN,901900,NaN,57064,3479,227090,235280,6424,95952,245479,422462,NaN,481716,886379,547201,93396,164378,981597,591192,33109,0,1312669,40764,193210,NaN,228869,881596,99208,0,500163,574196,4370,13647,661914,1067192,11866,15890,NaN,629060,2789,0,NaN,108258,312,5160,598835,NaN,2072,NaN,343513,43154,20156,8077,96057,NaN,18714,41586,1152014,578047,5931,7611,364799,226142,10739,210761,1390386,328134,521860,181770,1253737,532260,189155,1784,368654,229713,108118,166065,879140,70305,55098,55055,236984,316055,376,0,402455,377712,0,36657,552024,669007,77916,6373,758081,663751,77618,212076,1586863,1148913,143520,310255,1213154,490311,222409,95743,793246,636142,1661,239988,620261,648613,82463,176344,753029,194088,11252,10446,396424,357129,100557,223512,1128490,353519,155778,427419,1002236,83772,2684,1344,350359,558064,1325,98791,1153211,186953,129802,144708,503813,253207,17025
19,NaN,7851,83209,701,NaN,NaN,NaN,160268,1106,96102,224809,43924,1308,48241,418975,NaN,56881,80580,221407,0,0,360203,296471,17854,0,492765,346602,48431,NaN,17114,708471,393,0,426185,522942,3909,18191,575478,588940,8390,0,186402,1074965,75481,0,NaN,158155,487,0,110485,NaN,16119,0,183745,115894,17353,0,1868,85238,17611,0,230551,253884,152,0,164,52852,5345,1623,55545,145665,29090,0,121005,184547,31669,0,13850,97468,5902,90,29585,77102,759,0,10027,17541,291,0,11125,57022,0,539,32706,149413,3262,0,13087,88441,475,1003,19954,128787,159,0,29537,118557,1990,0,23201,90872,0,0,5776,69279,0,0,14392,59204,497,0,43567,84633,0,0,105401,203295,11224,0,175564,135084,4444,0,113403,413974,55470,27414,333838,507745,85268,1590,85126,130471,11606
20,NaN,29513,98865,764,NaN,230107,NaN,8636,0,4411,116062,244,699,38097,266217,NaN,73424,182708,211249,0,3667,176965,137907,986,0,158090,27564,364,NaN,0,296245,528,0,69967,35609,0,1622,137617,NaN,2181,1827,NaN,303766,0,0,NaN,34532,0,0,106391,NaN,819,0,180079,61560,3344,0,10164,51839,4798,0,226027,341114,0,404,52033,142707,454,25572,312748,60587,45374,3266,334061,219868,12170,220,43576,147238,10955,3102,121639,141462,127,249,42013,89813,344,0,28023,220619,1094,19343,213594,329203,0,1931,85722,147207,438,10426,199952,188482,1442,10469,134507,91331,1335,3709,127047,170395,0,16304,72165,147453,0,7879,103582,92175,822,1700,68840,129892,0,8070,321839,127901,6983,15158,261131,52074,239,0,5632,76224,9796,7018,150688,89093,575,1888,70996,48585,145
21,NaN,112448,220591,1347,NaN,637052,NaN,115245,0,127221,304101,59221,32446,189668,323049,NaN,128255,279114,323106,5003,89935,630117,409130,0,0,1136535,31650,24952,NaN,331274,NaN,30890,0,581079,288681,1475,3246,598857,854649,449,0,655873,792552,0,0,NaN,28476,0,0,56882,NaN,0,0,232120,102314,4935,0,30509,253345,6093,3439,900165,942118,0,0,207881,283333,1492,29939,805999,299804,168051,32651,894223,356446,23765,0,75712,245509,15508,11949,357751,285269,172,1627,192163,231422,940,0,77529,330980,0,653,215730,350914,28596,0,72608,286172,40263,50638,405753,474884,34383,92188,436365,221916,56750,28340,547049,407652,144,64417,416395,535576,37084,69020,527151,384142,17991,2620,168827,218350,0,208,318894,230154,7715,74595,770610,56416,2085,0,9603,112814,5456,3517,280393,296697,1001,380,140940,141079,0
